"topic_title";"topic";"version";"canton";"publication_data";"contract_required_data";"publication_wms";"contract_required_wms";"comment";"updated"
"Amtliche Vermessung";"av";"24.0";"AG";"Frei erhältlich";False;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"AI";"Frei erhältlich";False;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"AR";"Frei erhältlich";False;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"BE";"Frei erhältlich";False;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"BL";"Frei erhältlich";False;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"BS";"Frei erhältlich";False;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"FR";"Frei erhältlich";False;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"GE";"Frei erhältlich";False;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"GL";"Frei erhältlich";False;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"GR";"Frei erhältlich";False;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"JU";"Freigabe erforderlich";True;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"LU";"Freigabe erforderlich";True;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"NE";"Freigabe erforderlich";True;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"NW";"Freigabe erforderlich";False;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"OW";"Freigabe erforderlich";False;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"SG";"Frei erhältlich";False;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"SH";"Frei erhältlich";False;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"SO";"Frei erhältlich";False;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"SZ";"Frei erhältlich";False;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"TG";"Frei erhältlich";False;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"TI";"Frei erhältlich";False;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"UR";"Frei erhältlich";False;"Frei erhältlich";False;"";"2026-01-19"
"Amtliche Vermessung";"av";"24.0";"VD";"Freigabe erforderlich";False;"Frei erhältlich";False;"";"2026-01-19"
